ID,Material,Film_Thickness_nm,Deposition_Method,Substrate,Refractive_Index,Bandgap_eV,Surface_Roughness_nm,Electrical_Conductivity_S_cm,Optical_Transmittance_%,Application,Source
818_A241,Al2O3,150.9,CVD,Glass,2.4,1.87,2.76,25.536106,74.96,Sensors,S4
2031_A242,SnO2,132.0,Spin Coating,Quartz,2.35,1.29,2.67,2.321211,74.22,Sensors,S15
1878_A243,TiO2,90.1,Sputtering,Silicon Wafer,2.68,3.42,4.07,71.915199,81.27,Optoelectronics,S17
142_A244,TiO2,99.2,Thermal Evaporation,PET,2.54,2.42,4.32,71.720219,71.56,Transparent Conductors,S17
444_A245,TiO2,35.4,ALD,Silicon Wafer,2.92,1.49,1.18,43.261277,73.94,Sensors,S19
1175_A246,Al2O3,125.2,Sputtering,PET,1.82,1.52,2.65,100.1362,88.48,Transparent Conductors,S2
487_A247,MoS2,52.9,Sputtering,Glass,1.53,2.68,0.54,9.577672,72.45,Sensors,S16
882_A248,Al2O3,71.6,Spin Coating,Silicon Wafer,2.66,3.16,4.18,77.664422,81.38,Solar Cells,S7
2565_A249,Graphene,106.2,Sputtering,PET,2.68,3.1,0.99,19.715503,74.06,Optoelectronics,S15
1085_A250,ITO,134.6,Sputtering,Quartz,1.91,3.24,4.04,38.09229,79.22,Sensors,S20
1300_A251,SiO2,99.5,ALD,PET,1.56,2.28,3.53,15.909868,73.48,Solar Cells,S24
176_A252,SiO2,115.8,Thermal Evaporation,Silicon Wafer,2.88,1.09,2.67,62.579751,74.55,Transparent Conductors,S24
1095_A253,ZnO,101.0,Sputtering,Glass,1.57,2.39,3.42,31.847495,73.23,Solar Cells,S23
2701_A254,MoS2,72.7,Sputtering,PET,1.86,2.12,2.57,89.371865,87.37,Optoelectronics,S9
2847_A255,ITO,160.3,Spin Coating,Silicon Wafer,2.6,3.86,2.13,31.182718,77.26,Solar Cells,S4
1964_A256,Al2O3,104.3,Thermal Evaporation,Silicon Wafer,2.06,2.8,3.74,28.090343,92.84,Sensors,S25
2682_A257,MoS2,64.3,Thermal Evaporation,Glass,2.28,1.09,1.23,84.340989,71.39,Solar Cells,S13
2098_A258,ITO,80.6,Spin Coating,Silicon Wafer,2.15,1.44,3.0,47.185729,83.21,Solar Cells,S9
2156_A259,Graphene,68.8,Sputtering,Glass,2.77,3.71,4.34,52.184256,71.12,Sensors,S13
1557_A260,ZnO,144.7,Sputtering,PET,2.65,2.3,2.09,58.92099,84.03,Solar Cells,S14
1671_A261,SnO2,98.0,CVD,PET,2.9,3.45,3.11,3.932994,75.72,Sensors,S10
178_A262,TiO2,141.1,Thermal Evaporation,Silicon Wafer,2.92,3.68,0.84,43.377795,94.81,Optoelectronics,S14
1079_A263,ZnO,121.8,ALD,Glass,2.54,4.04,1.55,56.80454,93.2,Sensors,S17
599_A264,SiO2,34.3,Spin Coating,PET,1.57,3.17,0.99,32.954184,90.59,Transparent Conductors,S6
2191_A265,ITO,78.4,ALD,Quartz,2.12,3.16,3.77,33.881949,71.13,Transparent Conductors,S20
2532_A266,MoS2,89.5,Spin Coating,PET,2.57,2.2,1.92,83.405356,93.03,Sensors,S23
2668_A267,ITO,56.1,Sputtering,Quartz,2.46,2.13,4.04,39.844684,78.69,Solar Cells,S20
2787_A268,Graphene,109.1,CVD,Glass,1.79,2.06,3.21,94.293932,92.42,Sensors,S17
480_A269,ZnO,83.8,Sputtering,PET,2.05,3.83,1.54,15.669146,72.66,Transparent Conductors,S17
1968_A270,ZnO,114.4,Spin Coating,PET,1.86,3.45,2.81,28.699885,69.47,Solar Cells,S5
1058_A271,ZnO,58.2,ALD,Glass,2.51,3.98,3.9,31.155597,76.57,Transparent Conductors,S14
2269_A272,Al2O3,92.9,Spin Coating,Glass,2.44,2.18,3.51,95.48936,89.54,Transparent Conductors,S13
534_A273,MoS2,114.4,ALD,Glass,2.3,2.8,2.68,66.170664,77.28,Sensors,S21
1104_A274,ZnO,140.8,CVD,Silicon Wafer,1.73,1.14,0.62,25.112906,84.78,Solar Cells,S1
1107_A275,Al2O3,65.8,CVD,Quartz,2.49,1.09,3.92,28.344096,72.04,Solar Cells,S25
2928_A276,Al2O3,146.5,ALD,PET,2.43,1.16,4.63,46.018011,76.23,Sensors,S25
1124_A277,MoS2,82.6,CVD,PET,2.08,3.38,1.39,108.246119,81.14,Transparent Conductors,S3
943_A278,MoS2,50.5,Sputtering,Quartz,2.49,3.81,5.13,25.015651,94.46,Solar Cells,S25
163_A279,TiO2,110.6,CVD,Silicon Wafer,2.03,1.39,3.01,64.233234,92.33,Sensors,S6
1552_A280,SiO2,118.3,Sputtering,PET,2.47,1.44,4.16,69.148114,73.92,Optoelectronics,S13
966_A281,SiO2,90.7,Spin Coating,PET,2.89,3.73,0.83,87.925092,86.94,Optoelectronics,S9
472_A282,SiO2,64.9,ALD,Quartz,2.65,1.52,0.59,5.89098,74.19,Sensors,S4
845_A283,ITO,96.7,Spin Coating,Quartz,2.5,1.02,3.28,3.843287,82.06,Optoelectronics,S8
999_A284,SiO2,119.3,Spin Coating,Glass,2.16,1.72,3.85,23.802668,94.99,Optoelectronics,S1
1905_A285,ITO,118.1,Sputtering,PET,2.33,1.42,3.59,9.909723,73.96,Transparent Conductors,S1
31_A286,MoS2,129.8,Thermal Evaporation,Glass,2.77,1.91,1.72,81.629042,82.81,Transparent Conductors,S6
2891_A287,SiO2,60.4,Thermal Evaporation,Quartz,2.07,2.91,5.02,1.055452,82.79,Sensors,S24
424_A288,SnO2,104.4,Thermal Evaporation,PET,2.54,3.75,3.35,12.837924,79.17,Optoelectronics,S4
512_A289,ITO,103.5,ALD,Quartz,2.64,3.57,2.53,90.868098,90.29,Solar Cells,S6
2759_A290,ITO,58.4,ALD,PET,2.73,1.55,1.77,89.784219,81.28,Transparent Conductors,S6
2738_A291,SiO2,94.2,Thermal Evaporation,PET,2.76,1.24,1.16,81.118617,85.46,Optoelectronics,S19
1394_A292,Al2O3,128.0,ALD,Quartz,2.53,3.56,0.68,51.770038,76.93,Solar Cells,S6
1587_A293,Graphene,111.0,Thermal Evaporation,Silicon Wafer,1.88,3.64,0.79,67.289072,80.24,Transparent Conductors,S20
1930_A294,ZnO,154.1,CVD,Glass,2.79,2.63,4.57,86.459857,85.55,Sensors,S5
2498_A295,ITO,83.8,Thermal Evaporation,Glass,2.05,3.37,0.58,18.933309,87.07,Transparent Conductors,S3
788_A296,TiO2,127.4,Sputtering,Quartz,1.95,1.85,5.3,14.42584,92.6,Transparent Conductors,S2
2637_A297,SiO2,102.1,CVD,Silicon Wafer,1.63,1.76,2.24,30.668067,87.08,Transparent Conductors,S17
2539_A298,SiO2,126.4,Sputtering,Silicon Wafer,2.76,1.28,2.1,47.733526,94.05,Transparent Conductors,S4
403_A299,TiO2,146.1,ALD,Silicon Wafer,2.52,3.02,4.03,1.739439,92.64,Solar Cells,S10
434_A300,TiO2,88.0,Spin Coating,Silicon Wafer,2.29,2.91,2.57,70.751534,81.7,Optoelectronics,S4
1152_A301,Graphene,149.1,Thermal Evaporation,Silicon Wafer,2.26,2.71,3.94,53.880326,80.19,Optoelectronics,S1
74_A302,TiO2,98.1,CVD,PET,1.91,1.96,3.11,90.878834,92.58,Optoelectronics,S13
1537_A303,Graphene,76.5,CVD,Silicon Wafer,2.25,3.36,0.59,76.409206,83.58,Optoelectronics,S16
2710_A304,MoS2,130.3,Sputtering,PET,2.57,2.62,3.78,14.514346,80.82,Sensors,S22
622_A305,ITO,114.1,CVD,Quartz,2.79,3.56,2.7,22.889808,84.79,Sensors,S5
1438_A306,Graphene,77.8,ALD,PET,2.69,3.96,4.36,12.006122,83.11,Transparent Conductors,S11
1560_A307,ZnO,94.2,Spin Coating,Silicon Wafer,1.99,3.24,1.77,3.706243,85.5,Sensors,S10
1567_A308,Al2O3,101.9,Spin Coating,Silicon Wafer,1.99,0.99,4.47,30.110864,90.4,Solar Cells,S7
325_A309,ZnO,108.6,Thermal Evaporation,Glass,2.72,3.6,0.67,51.273272,85.72,Solar Cells,S18
333_A310,SnO2,57.9,Thermal Evaporation,Silicon Wafer,1.7,3.77,3.21,65.278527,83.53,Optoelectronics,S2
1393_A311,ITO,110.6,Thermal Evaporation,Silicon Wafer,1.53,4.01,3.22,6.250373,91.31,Solar Cells,S21
651_A312,SnO2,124.8,ALD,Glass,1.52,1.86,2.25,22.778846,78.19,Solar Cells,S24
2237_A313,SiO2,104.0,Sputtering,Quartz,1.71,1.18,3.49,3.709899,73.14,Transparent Conductors,S21
1534_A314,SiO2,103.3,CVD,PET,2.03,3.52,2.02,35.156456,78.65,Transparent Conductors,S23
2164_A315,ITO,112.8,Sputtering,Quartz,2.48,1.84,1.82,87.578526,89.06,Transparent Conductors,S5
544_A316,TiO2,82.3,Thermal Evaporation,Glass,2.13,1.65,4.61,103.172595,86.75,Solar Cells,S24
2959_A317,Graphene,157.7,Thermal Evaporation,Quartz,2.27,3.33,0.56,37.423742,74.31,Solar Cells,S22
1819_A318,ITO,92.5,ALD,Silicon Wafer,1.68,3.14,2.14,66.272768,81.0,Solar Cells,S3
1625_A319,ZnO,100.4,Sputtering,Quartz,2.13,2.43,2.39,83.09977,70.49,Solar Cells,S11
1178_A320,Al2O3,109.5,CVD,Quartz,2.24,3.2,4.15,49.142153,87.98,Sensors,S16
680_A321,SnO2,73.8,Spin Coating,Silicon Wafer,2.74,4.07,2.75,25.35238,90.9,Transparent Conductors,S7
2097_A322,SiO2,46.8,Spin Coating,PET,2.88,2.88,2.1,82.40677,93.9,Solar Cells,S11
2030_A323,MoS2,89.6,ALD,PET,1.71,1.72,2.73,6.892339,96.76,Sensors,S14
1660_A324,TiO2,106.9,Spin Coating,Silicon Wafer,3.0,1.38,3.27,55.603567,94.13,Transparent Conductors,S4
1638_A325,SiO2,46.9,Thermal Evaporation,PET,1.81,3.77,0.52,25.904355,72.83,Optoelectronics,S23
240_A326,SnO2,126.6,Sputtering,Silicon Wafer,1.55,1.4,4.86,32.254925,93.28,Solar Cells,S16
2125_A327,SiO2,63.2,ALD,Silicon Wafer,2.56,3.37,0.97,19.980366,70.22,Optoelectronics,S25
2620_A328,ZnO,103.3,ALD,Quartz,2.65,1.97,2.11,100.019568,94.7,Solar Cells,S22
2291_A329,Graphene,164.0,Spin Coating,Quartz,2.76,2.48,3.91,10.990549,85.36,Optoelectronics,S22
765_A330,SiO2,111.6,Thermal Evaporation,PET,1.47,1.72,0.86,70.927695,80.09,Sensors,S16
1129_A331,Al2O3,81.0,ALD,Silicon Wafer,2.32,1.0,3.93,60.242834,81.44,Transparent Conductors,S7
1886_A332,ZnO,84.3,ALD,Quartz,2.95,2.36,3.18,87.322016,88.71,Sensors,S17
1117_A333,ZnO,88.3,ALD,Glass,1.63,2.49,2.23,20.319847,84.85,Solar Cells,S5
1103_A334,SnO2,87.3,ALD,Quartz,2.39,2.23,2.6,72.849772,82.77,Solar Cells,S12
2848_A335,MoS2,118.7,Thermal Evaporation,Glass,1.94,2.91,2.25,30.332542,73.43,Transparent Conductors,S14
2331_A336,MoS2,93.4,Spin Coating,PET,2.79,1.69,1.83,89.542897,74.01,Optoelectronics,S14
1362_A337,Al2O3,126.8,Thermal Evaporation,PET,1.89,3.61,5.03,19.50129,86.31,Sensors,S24
2317_A338,MoS2,130.6,Sputtering,PET,2.26,3.91,4.43,33.80892,79.03,Optoelectronics,S16
1408_A339,SnO2,105.8,Sputtering,Glass,2.9,2.71,1.32,50.086028,80.57,Transparent Conductors,S15
2530_A340,ZnO,97.1,CVD,Silicon Wafer,1.53,0.96,0.55,2.665609,96.82,Sensors,S21
344_A341,TiO2,77.5,CVD,Glass,1.77,1.48,2.77,30.058126,71.01,Transparent Conductors,S17
1106_A342,SnO2,99.2,Spin Coating,Silicon Wafer,1.52,3.62,1.18,46.700458,89.08,Transparent Conductors,S13
2593_A343,SiO2,113.7,Thermal Evaporation,Silicon Wafer,2.13,2.04,3.48,62.96277,87.61,Sensors,S25
558_A344,Al2O3,116.3,ALD,Quartz,2.51,1.88,0.93,90.707029,92.49,Sensors,S1
1476_A345,Graphene,79.3,Spin Coating,Glass,2.72,2.72,2.45,17.762928,76.6,Solar Cells,S22
2704_A346,SiO2,99.7,Spin Coating,PET,1.9,1.38,5.03,99.4585,80.61,Sensors,S4
595_A347,SnO2,55.4,Sputtering,Silicon Wafer,2.12,3.12,0.58,84.038938,87.68,Transparent Conductors,S5
1558_A348,ZnO,129.3,ALD,Glass,2.05,2.98,4.49,40.11424,69.06,Sensors,S2
412_A349,MoS2,80.8,CVD,Silicon Wafer,2.93,2.74,3.92,65.015936,87.71,Solar Cells,S21
1056_A350,ITO,67.1,Spin Coating,Silicon Wafer,2.54,3.34,2.22,25.583492,74.2,Transparent Conductors,S2
2474_A351,SnO2,42.6,Sputtering,PET,2.82,1.17,1.01,99.789193,80.4,Transparent Conductors,S15
109_A352,TiO2,134.3,CVD,Silicon Wafer,2.68,3.29,1.51,70.768788,90.56,Transparent Conductors,S22
2026_A353,Al2O3,97.3,ALD,PET,1.72,1.04,4.88,23.807178,79.76,Optoelectronics,S6
2707_A354,SnO2,112.9,Spin Coating,Silicon Wafer,1.64,1.36,3.64,91.470612,87.7,Transparent Conductors,S15
319_A355,SnO2,96.4,ALD,PET,1.61,2.79,2.95,58.332992,96.41,Sensors,S3
2719_A356,Graphene,85.0,ALD,Glass,2.47,1.96,1.3,45.258073,92.1,Transparent Conductors,S5
841_A357,TiO2,48.9,Spin Coating,Quartz,2.58,3.26,2.11,27.754479,88.17,Solar Cells,S7
2958_A358,MoS2,73.1,Thermal Evaporation,Silicon Wafer,2.37,2.79,2.4,13.879279,93.71,Sensors,S12
1352_A359,Al2O3,45.6,CVD,Glass,1.8,2.63,2.4,36.676497,80.59,Solar Cells,S19
2826_A360,Al2O3,117.0,ALD,PET,1.57,2.05,2.11,13.160666,89.66,Solar Cells,S17
2367_A361,TiO2,101.9,Spin Coating,Quartz,2.57,2.11,3.96,43.987662,73.79,Sensors,S23
1883_A362,SiO2,33.9,Sputtering,Silicon Wafer,1.75,1.4,2.77,10.585843,94.4,Sensors,S5
681_A363,ZnO,108.7,ALD,Glass,2.88,2.9,3.8,96.934145,79.13,Optoelectronics,S7
730_A364,ITO,123.3,Spin Coating,PET,1.84,1.22,4.61,43.047224,76.34,Optoelectronics,S13
790_A365,SnO2,49.5,CVD,Quartz,2.02,2.06,1.48,2.970682,73.99,Transparent Conductors,S13
1814_A366,SiO2,103.2,Spin Coating,Silicon Wafer,1.86,3.35,2.84,32.400222,87.54,Optoelectronics,S11
1346_A367,SiO2,109.7,Sputtering,PET,1.9,3.11,2.29,63.80425,75.81,Solar Cells,S10
1869_A368,SnO2,95.0,CVD,Silicon Wafer,2.12,2.78,1.36,2.6152,81.21,Sensors,S12
2070_A369,ITO,80.9,ALD,Quartz,1.95,1.87,1.33,63.092153,68.59,Optoelectronics,S1
433_A370,Graphene,150.1,Sputtering,Glass,2.04,1.53,1.71,16.666268,89.04,Sensors,S3
565_A371,SnO2,108.6,Sputtering,Quartz,2.34,2.49,2.2,7.040726,83.96,Optoelectronics,S23
1749_A372,Graphene,76.5,CVD,Quartz,1.82,3.42,3.83,32.1362,86.43,Optoelectronics,S9
1777_A373,SnO2,118.0,Spin Coating,Silicon Wafer,2.73,2.98,3.73,33.945833,83.57,Sensors,S20
71_A374,SnO2,117.9,Thermal Evaporation,PET,2.76,3.75,2.23,39.211333,78.36,Transparent Conductors,S19
1789_A375,Graphene,118.8,Thermal Evaporation,Glass,1.78,1.61,2.46,34.777596,95.75,Optoelectronics,S24
1230_A376,Graphene,123.2,CVD,Glass,1.82,3.4,3.13,45.439793,84.73,Optoelectronics,S21
1513_A377,TiO2,89.4,Sputtering,Silicon Wafer,2.74,3.21,5.29,63.47778,86.3,Optoelectronics,S21
57_A378,Graphene,95.9,Sputtering,Quartz,2.2,1.91,2.79,78.695648,73.99,Optoelectronics,S14
1602_A379,Al2O3,98.6,ALD,Quartz,1.49,2.52,3.71,76.844959,73.53,Optoelectronics,S2
652_A380,Graphene,123.4,CVD,Quartz,2.83,2.26,0.65,83.536488,73.56,Sensors,S10
2177_A381,MoS2,88.7,Spin Coating,PET,2.39,3.05,1.18,8.715173,72.88,Optoelectronics,S6
898_A382,SiO2,77.7,Sputtering,PET,2.12,3.19,2.95,89.544149,93.69,Sensors,S21
786_A383,ITO,55.0,Spin Coating,Glass,1.76,3.65,1.99,31.034053,87.52,Transparent Conductors,S15
310_A384,MoS2,110.2,Thermal Evaporation,Glass,1.74,1.11,1.44,27.135164,94.06,Transparent Conductors,S2
2405_A385,ITO,72.3,Spin Coating,Quartz,1.61,1.35,1.96,88.038635,75.74,Optoelectronics,S17
1742_A386,TiO2,108.7,Thermal Evaporation,PET,1.81,1.74,1.9,87.170196,83.18,Optoelectronics,S5
908_A387,Al2O3,117.1,Spin Coating,Silicon Wafer,2.26,3.23,2.5,100.118666,72.55,Optoelectronics,S20
603_A388,MoS2,108.6,Sputtering,Silicon Wafer,2.56,3.81,2.09,57.603153,72.62,Solar Cells,S19
1179_A389,ZnO,160.8,CVD,Silicon Wafer,2.92,3.26,4.29,93.868468,71.27,Optoelectronics,S22
2298_A390,Al2O3,117.9,Sputtering,PET,2.79,2.69,3.02,90.711805,74.92,Optoelectronics,S4
1746_A391,MoS2,86.8,Sputtering,Glass,2.76,2.89,3.56,76.872439,94.15,Solar Cells,S18
1162_A392,MoS2,73.7,Thermal Evaporation,Quartz,2.66,1.28,1.35,66.777871,96.7,Transparent Conductors,S17
1510_A393,Graphene,78.6,Thermal Evaporation,Glass,2.08,3.47,5.05,1.630818,73.39,Solar Cells,S20
2096_A394,TiO2,8.5,ALD,PET,1.9,2.2,2.83,101.991159,72.21,Sensors,S18
1578_A395,ZnO,117.7,Sputtering,PET,2.36,3.11,1.27,8.573371,84.35,Sensors,S10
573_A396,TiO2,72.5,Spin Coating,Quartz,1.59,3.04,3.34,18.901801,76.25,Optoelectronics,S15
555_A397,SiO2,145.3,Spin Coating,Silicon Wafer,2.06,2.47,1.18,64.637756,83.06,Optoelectronics,S2
946_A398,Al2O3,111.1,CVD,Glass,2.94,3.99,3.5,9.674746,84.9,Transparent Conductors,S9
2997_A399,Al2O3,97.2,Thermal Evaporation,PET,2.87,3.26,3.36,37.567651,89.19,Sensors,S18
875_A400,ZnO,94.5,Thermal Evaporation,PET,2.4,3.94,1.32,53.164222,87.3,Solar Cells,S16
2995_A401,SnO2,96.1,Sputtering,Silicon Wafer,2.89,1.99,1.87,73.530286,85.19,Solar Cells,S5
1570_A402,MoS2,76.8,ALD,PET,1.87,1.28,0.84,78.213731,76.06,Sensors,S3
2669_A403,ZnO,122.7,Thermal Evaporation,Silicon Wafer,1.81,2.56,0.67,15.69371,76.38,Optoelectronics,S15
2628_A404,Graphene,74.3,CVD,PET,1.67,3.47,1.06,103.860817,76.58,Transparent Conductors,S22
1554_A405,MoS2,125.5,ALD,Silicon Wafer,2.57,3.44,4.13,50.579077,80.8,Solar Cells,S22
121_A406,ZnO,82.3,CVD,Glass,2.31,1.71,4.23,85.911988,88.62,Transparent Conductors,S17
2660_A407,TiO2,71.0,Spin Coating,Quartz,2.24,1.93,4.79,32.870566,88.79,Sensors,S2
810_A408,Graphene,117.8,CVD,Quartz,2.92,1.99,3.39,102.631046,91.38,Solar Cells,S6
2187_A409,Al2O3,141.6,Thermal Evaporation,Quartz,2.17,3.86,1.2,70.828421,91.07,Sensors,S9
1619_A410,TiO2,68.1,Spin Coating,PET,2.58,2.04,4.45,81.457958,83.16,Solar Cells,S7
314_A411,Graphene,119.0,Sputtering,Glass,2.01,2.14,2.03,26.189182,91.96,Sensors,S2
1563_A412,TiO2,98.0,Sputtering,Quartz,2.42,1.49,2.68,73.919275,79.99,Solar Cells,S3
234_A413,ITO,76.9,Spin Coating,Quartz,2.14,3.88,1.06,4.319531,86.22,Sensors,S12
508_A414,SnO2,94.5,Thermal Evaporation,Quartz,2.88,1.3,1.09,32.042603,96.58,Transparent Conductors,S23
1337_A415,MoS2,92.4,CVD,PET,1.99,2.89,1.78,53.922607,88.76,Optoelectronics,S5
1386_A416,TiO2,67.8,Sputtering,PET,2.14,1.59,4.51,33.634582,87.89,Optoelectronics,S3
112_A417,ZnO,60.5,Spin Coating,Glass,2.3,2.31,0.6,86.252799,82.46,Solar Cells,S25
1579_A418,ZnO,116.6,ALD,Glass,2.86,2.73,3.09,18.154273,90.3,Solar Cells,S23
411_A419,ZnO,69.1,CVD,Quartz,2.21,1.56,0.67,99.018674,88.37,Transparent Conductors,S23
219_A420,SiO2,84.0,ALD,PET,2.78,2.57,0.89,58.725789,78.22,Sensors,S18
2115_A421,MoS2,133.8,Sputtering,Silicon Wafer,1.72,2.75,3.24,69.930825,83.69,Solar Cells,S14
1308_A422,MoS2,104.2,Sputtering,Silicon Wafer,1.7,1.02,2.7,7.818848,79.48,Optoelectronics,S12
1081_A423,MoS2,103.2,ALD,Quartz,2.87,1.2,0.59,62.106965,82.89,Solar Cells,S5
760_A424,ZnO,76.2,Sputtering,Silicon Wafer,1.81,2.95,1.87,14.042075,74.18,Optoelectronics,S4
912_A425,ZnO,137.8,Sputtering,PET,1.56,3.07,3.54,65.444891,68.87,Sensors,S19
808_A426,Al2O3,129.7,Thermal Evaporation,Silicon Wafer,2.48,1.93,0.73,28.326187,79.82,Sensors,S9
440_A427,SiO2,90.1,Spin Coating,Silicon Wafer,2.82,2.76,0.6,66.816612,79.46,Solar Cells,S3
545_A428,SnO2,79.4,Sputtering,Silicon Wafer,2.25,2.22,1.57,12.687179,88.95,Transparent Conductors,S10
486_A429,TiO2,79.9,Sputtering,Quartz,2.94,3.16,1.48,78.170094,90.03,Solar Cells,S7
2476_A430,SiO2,143.8,ALD,Quartz,1.84,1.37,2.17,35.415049,91.75,Solar Cells,S20
388_A431,Al2O3,115.3,CVD,Glass,2.32,1.54,2.21,88.468114,70.59,Optoelectronics,S19
2917_A432,MoS2,115.9,Spin Coating,Glass,1.52,3.31,2.87,17.510711,78.24,Sensors,S19
1193_A433,SnO2,86.3,ALD,Quartz,2.28,3.72,1.74,27.408989,71.17,Sensors,S10
1231_A434,ITO,98.9,Thermal Evaporation,Glass,1.8,2.8,1.81,82.682811,82.71,Solar Cells,S14
1211_A435,SiO2,138.6,Sputtering,Quartz,1.75,1.7,0.98,103.801062,88.55,Transparent Conductors,S10
1274_A436,Graphene,129.2,Thermal Evaporation,Quartz,1.52,2.05,3.78,10.494795,79.3,Sensors,S25
1940_A437,Graphene,114.4,Spin Coating,Quartz,1.94,3.58,3.15,25.582385,78.33,Transparent Conductors,S5
2304_A438,Al2O3,155.9,Spin Coating,Quartz,2.55,3.39,2.08,101.528593,82.26,Optoelectronics,S2
931_A439,SnO2,121.5,CVD,Quartz,2.55,2.79,0.68,20.070084,80.26,Transparent Conductors,S19
136_A440,Graphene,91.5,Sputtering,Glass,2.57,3.3,2.52,0.091165,82.41,Transparent Conductors,S23
1781_A441,ZnO,81.6,Thermal Evaporation,Quartz,2.96,3.5,4.21,12.534043,86.83,Optoelectronics,S2
2168_A442,SnO2,84.9,Sputtering,Quartz,1.74,2.71,4.07,28.310219,71.93,Solar Cells,S10
1498_A443,MoS2,99.7,Thermal Evaporation,Quartz,1.79,1.28,2.69,21.109689,73.28,Sensors,S18
2257_A444,Al2O3,101.6,CVD,PET,1.95,2.86,2.64,77.313045,85.28,Sensors,S13
367_A445,Graphene,119.6,Thermal Evaporation,PET,1.58,3.47,4.4,78.884505,93.81,Optoelectronics,S11
2025_A446,TiO2,65.2,Sputtering,Quartz,2.1,2.72,2.57,75.217494,75.61,Transparent Conductors,S12
2898_A447,TiO2,94.1,ALD,Glass,2.59,3.66,2.31,53.678741,68.86,Solar Cells,S3
30_A448,MoS2,68.0,Spin Coating,PET,2.77,2.2,4.22,19.581662,78.77,Solar Cells,S25
2502_A449,SiO2,147.6,Spin Coating,Glass,1.76,1.07,4.54,17.463411,87.39,Solar Cells,S9
2969_A450,ZnO,61.2,Thermal Evaporation,Silicon Wafer,1.93,3.45,1.7,10.608619,93.49,Transparent Conductors,S2
1048_A451,TiO2,91.6,Sputtering,Quartz,1.9,2.72,4.42,0.186603,77.91,Solar Cells,S16
2888_A452,Graphene,90.3,Sputtering,Quartz,1.51,2.39,3.95,13.449881,89.14,Optoelectronics,S25
1422_A453,SnO2,91.5,Spin Coating,Quartz,2.9,3.17,2.23,95.586104,95.56,Optoelectronics,S16
1489_A454,ZnO,84.8,Spin Coating,Glass,2.88,2.43,2.99,59.756184,72.09,Sensors,S10
184_A455,ZnO,112.6,Sputtering,PET,2.64,2.75,3.59,13.355795,88.2,Transparent Conductors,S8
1135_A456,ITO,98.8,Thermal Evaporation,Silicon Wafer,2.61,2.57,2.77,43.46113,90.02,Sensors,S13
189_A457,SiO2,121.7,Sputtering,Silicon Wafer,1.61,0.98,3.99,32.39483,83.3,Solar Cells,S13
421_A458,TiO2,109.4,ALD,PET,2.48,4.0,4.71,19.996821,72.4,Optoelectronics,S23
171_A459,Al2O3,42.2,ALD,Glass,2.88,1.17,1.24,78.400757,94.66,Transparent Conductors,S24
1378_A460,SnO2,102.6,Thermal Evaporation,Silicon Wafer,1.92,3.6,2.89,51.872217,80.15,Transparent Conductors,S16
461_A461,MoS2,147.8,ALD,Silicon Wafer,2.82,3.33,5.06,51.395772,89.44,Transparent Conductors,S16
44_A462,TiO2,105.2,ALD,Quartz,1.62,1.45,2.09,8.540346,94.03,Transparent Conductors,S17
88_A463,ZnO,152.9,Spin Coating,Quartz,2.4,3.87,1.1,75.824056,78.95,Sensors,S25
1323_A464,Al2O3,137.9,Spin Coating,Glass,1.62,2.71,2.04,3.004243,79.92,Transparent Conductors,S11
1741_A465,MoS2,107.7,Spin Coating,Glass,2.11,2.61,2.79,75.571146,78.48,Transparent Conductors,S3
706_A466,Al2O3,90.4,Spin Coating,Glass,2.47,1.9,0.85,55.317488,83.54,Sensors,S7
904_A467,ZnO,124.7,Spin Coating,Quartz,1.61,2.26,2.28,22.708812,88.31,Solar Cells,S17
283_A468,MoS2,126.9,ALD,Silicon Wafer,2.31,2.85,3.08,32.548796,89.73,Transparent Conductors,S15
2459_A469,SiO2,93.2,Sputtering,Silicon Wafer,1.91,2.89,2.78,28.088371,93.73,Sensors,S16
694_A470,ZnO,82.0,ALD,Silicon Wafer,2.52,3.47,2.21,56.843313,92.35,Transparent Conductors,S8
2090_A471,SnO2,98.0,Sputtering,Silicon Wafer,2.2,1.84,2.76,30.889471,75.64,Solar Cells,S4
2067_A472,TiO2,133.5,ALD,Quartz,2.4,2.67,1.37,91.271984,82.28,Solar Cells,S22
258_A473,SiO2,41.1,ALD,Quartz,2.27,2.69,2.64,71.955768,75.52,Sensors,S22
2645_A474,Graphene,93.7,Spin Coating,Silicon Wafer,2.48,3.91,2.66,72.763606,79.32,Transparent Conductors,S1
2595_A475,Al2O3,131.4,CVD,Quartz,1.64,2.51,4.41,63.902598,91.41,Optoelectronics,S3
2443_A476,ZnO,100.3,Spin Coating,Quartz,2.91,1.25,2.97,9.216575,83.8,Solar Cells,S12
2884_A477,ZnO,79.4,Spin Coating,Quartz,1.79,1.88,4.22,27.620217,88.44,Transparent Conductors,S4
1217_A478,MoS2,105.7,Thermal Evaporation,Glass,2.41,1.93,1.71,28.802414,83.46,Transparent Conductors,S19
1042_A479,SiO2,68.4,Thermal Evaporation,PET,2.1,2.48,2.33,84.007991,81.33,Transparent Conductors,S7
2454_A480,ITO,46.5,ALD,Quartz,2.96,2.22,2.99,89.974311,94.21,Solar Cells,S3
150_A481,SiO2,51.3,Thermal Evaporation,Glass,2.07,3.59,3.02,83.884764,87.49,Transparent Conductors,S5
