ID,Material,Film_Thickness_nm,Deposition_Method,Substrate,Refractive_Index,Bandgap_eV,Surface_Roughness_nm,Electrical_Conductivity_S_cm,Optical_Transmittance_%,Application,Source
781,SnO2,60.4,CVD,Silicon Wafer,2.23,1.96,1.75,75.169239,74.29,Optoelectronics,S11
782,Al2O3,117.8,CVD,Quartz,2.25,3.51,4.8,48.785481,73.59,Sensors,S10
783,Al2O3,109.6,Thermal Evaporation,Glass,1.78,3.85,4.95,22.990922,83.97,Optoelectronics,S9
784,TiO2,113.8,CVD,Quartz,2.86,1.92,1.27,10.892834,72.27,Sensors,S22
785,Graphene,100.4,Spin Coating,PET,2.72,3.44,3.3,55.563685,81.2,Sensors,S14
786,ITO,54.8,Spin Coating,Glass,1.75,3.65,2.14,32.006859,85.53,Transparent Conductors,S15
787,Graphene,123.2,ALD,Silicon Wafer,1.55,1.6,1.48,5.740213,82.2,Sensors,S9
788,TiO2,124.6,Sputtering,Quartz,1.99,1.78,4.91,15.051689,92.98,Transparent Conductors,S2
789,ITO,132.6,Sputtering,Silicon Wafer,2.1,3.42,0.82,19.832396,73.45,Solar Cells,S25
790,SnO2,51.4,CVD,Quartz,1.98,2.15,1.53,2.722971,75.28,Transparent Conductors,S13
791,SiO2,94.4,Sputtering,Glass,2.59,1.04,4.11,51.093229,80.0,Optoelectronics,S12
792,TiO2,115.5,Sputtering,Quartz,2.82,1.53,3.31,81.711862,75.66,Transparent Conductors,S15
793,Al2O3,135.5,Spin Coating,Silicon Wafer,2.77,2.29,4.9,85.852691,85.19,Solar Cells,S19
794,SiO2,114.4,Thermal Evaporation,Silicon Wafer,1.54,2.11,3.38,13.298448,71.72,Optoelectronics,S7
795,Graphene,76.3,Thermal Evaporation,Silicon Wafer,1.74,3.93,2.83,76.824437,71.93,Solar Cells,S2
796,ZnO,135.6,Spin Coating,Quartz,1.54,1.74,4.56,29.242104,82.06,Sensors,S10
797,SnO2,75.7,Thermal Evaporation,Silicon Wafer,2.09,3.01,0.86,39.752141,70.39,Transparent Conductors,S18
798,Al2O3,91.3,Thermal Evaporation,Quartz,2.01,3.14,4.47,70.561374,75.82,Sensors,S9
799,SnO2,136.3,ALD,Glass,2.64,2.1,3.65,42.040937,90.75,Solar Cells,S3
800,TiO2,83.7,ALD,Silicon Wafer,2.37,3.98,0.85,48.863972,76.94,Sensors,S25
801,Al2O3,62.1,ALD,Silicon Wafer,1.53,4.0,4.57,16.952205,82.86,Solar Cells,S13
802,SiO2,108.0,CVD,Quartz,1.72,2.26,3.41,5.107675,78.53,Sensors,S15
803,MoS2,112.5,Thermal Evaporation,Glass,1.51,3.42,2.07,77.457699,94.86,Transparent Conductors,S16
804,Graphene,120.4,Sputtering,PET,2.91,2.32,2.64,93.300533,88.5,Sensors,S18
805,ZnO,80.7,Thermal Evaporation,Silicon Wafer,2.23,3.23,0.88,74.86792,92.88,Sensors,S19
806,ZnO,80.4,Sputtering,Silicon Wafer,2.85,1.58,3.13,71.617353,80.35,Transparent Conductors,S20
807,ZnO,98.0,ALD,Silicon Wafer,2.52,1.41,0.87,82.816772,81.97,Optoelectronics,S9
808,Al2O3,129.9,Thermal Evaporation,Silicon Wafer,2.48,1.99,0.79,28.205507,82.04,Sensors,S9
809,MoS2,112.6,CVD,Silicon Wafer,2.65,2.41,3.91,45.1687,91.21,Sensors,S8
810,Graphene,123.6,CVD,Quartz,2.93,2.02,3.51,97.363321,91.19,Solar Cells,S6
811,SiO2,106.0,ALD,Glass,2.91,2.52,1.79,29.390773,75.95,Solar Cells,S19
812,ZnO,87.1,Sputtering,Silicon Wafer,1.56,3.03,2.89,5.12062,72.79,Solar Cells,S24
813,ITO,38.8,ALD,Quartz,2.81,1.56,4.41,33.318469,75.3,Sensors,S24
814,TiO2,96.2,Spin Coating,Silicon Wafer,2.05,2.0,4.01,83.087913,72.05,Solar Cells,S8
815,ITO,111.6,Thermal Evaporation,Quartz,2.85,3.57,2.15,47.384739,70.22,Optoelectronics,S13
816,ITO,128.3,CVD,Quartz,2.76,2.59,3.59,37.513895,91.6,Sensors,S18
817,TiO2,149.9,ALD,Silicon Wafer,2.56,1.14,4.93,55.815011,82.79,Transparent Conductors,S3
818,Al2O3,148.0,CVD,Glass,2.45,1.8,2.83,27.74922,73.39,Sensors,S4
819,Al2O3,93.7,ALD,Glass,2.83,1.4,3.54,80.65262,84.73,Sensors,S21
820,ITO,81.2,Sputtering,Silicon Wafer,2.92,1.67,3.97,5.614346,89.91,Sensors,S15
821,ZnO,49.5,Spin Coating,Quartz,1.65,1.9,4.75,65.378514,92.65,Optoelectronics,S17
822,Al2O3,82.2,CVD,PET,1.95,1.79,2.33,11.089931,88.09,Sensors,S9
823,Al2O3,59.9,CVD,Quartz,2.39,3.86,2.3,94.698987,90.51,Sensors,S10
824,Al2O3,80.9,Sputtering,PET,2.49,1.16,3.88,60.096458,75.41,Optoelectronics,S5
825,SiO2,71.9,CVD,PET,2.99,1.71,4.97,44.950614,79.33,Transparent Conductors,S17
826,ITO,127.2,Thermal Evaporation,Silicon Wafer,2.21,1.8,1.87,39.270228,72.43,Sensors,S24
827,SnO2,115.6,Thermal Evaporation,Quartz,2.59,2.68,3.14,13.188869,72.68,Sensors,S8
828,SiO2,122.8,ALD,Silicon Wafer,2.21,1.94,2.08,82.078942,93.32,Optoelectronics,S15
829,TiO2,100.0,Spin Coating,PET,2.18,2.52,4.47,9.888308,94.58,Optoelectronics,S5
830,TiO2,32.8,Thermal Evaporation,PET,2.9,3.42,2.37,66.267269,70.66,Solar Cells,S16
831,Graphene,134.6,CVD,Silicon Wafer,1.51,1.98,3.22,30.576941,91.68,Solar Cells,S14
832,Graphene,116.9,CVD,Glass,1.51,2.86,3.54,10.956928,82.93,Solar Cells,S5
833,ZnO,126.3,Thermal Evaporation,Glass,1.51,1.79,2.01,38.889334,92.24,Transparent Conductors,S22
834,ZnO,52.9,Sputtering,Quartz,1.72,1.06,4.68,45.755714,85.72,Solar Cells,S20
835,ZnO,141.4,Thermal Evaporation,Glass,1.61,3.88,3.63,38.442851,89.84,Sensors,S10
836,Al2O3,132.1,Sputtering,Glass,2.55,2.21,3.8,67.943128,91.01,Sensors,S12
837,Al2O3,127.6,CVD,Quartz,2.01,3.96,4.89,36.30906,79.14,Transparent Conductors,S15
838,SiO2,102.1,Spin Coating,Quartz,2.56,2.59,2.18,67.835219,90.76,Solar Cells,S22
839,SnO2,87.1,Sputtering,Glass,2.0,1.73,0.76,85.73176,86.33,Optoelectronics,S18
840,ZnO,109.6,Thermal Evaporation,Glass,2.11,2.26,2.12,56.641893,88.76,Solar Cells,S10
841,TiO2,49.0,Spin Coating,Quartz,2.57,3.23,2.02,30.185568,88.77,Solar Cells,S7
842,ITO,141.5,ALD,Quartz,2.44,1.62,2.11,32.985231,86.9,Sensors,S13
843,Graphene,107.0,ALD,PET,1.75,2.65,2.13,74.073919,80.14,Solar Cells,S17
844,ZnO,78.0,ALD,Glass,2.57,2.79,3.78,49.298742,85.16,Transparent Conductors,S9
845,ITO,92.4,Spin Coating,Quartz,2.49,1.03,3.2,3.869854,83.8,Optoelectronics,S8
846,ZnO,86.6,CVD,Silicon Wafer,2.28,1.33,2.17,52.952071,88.29,Sensors,S17
847,ITO,94.6,Thermal Evaporation,Glass,2.11,2.12,3.78,21.902168,89.67,Sensors,S25
848,Al2O3,58.9,Spin Coating,PET,1.88,1.92,3.07,58.25532,91.15,Transparent Conductors,S2
849,MoS2,114.1,Sputtering,PET,1.71,3.34,1.02,23.136147,83.6,Solar Cells,S24
850,Graphene,55.0,CVD,Glass,2.8,2.31,0.6,90.960603,93.38,Sensors,S13
851,SnO2,105.3,Thermal Evaporation,Glass,1.72,1.44,3.71,14.504174,70.51,Solar Cells,S7
852,Graphene,88.2,Spin Coating,Quartz,1.98,1.59,4.37,17.167277,88.05,Transparent Conductors,S3
853,ITO,70.3,Spin Coating,PET,2.0,3.81,3.7,8.175647,89.8,Sensors,S23
854,ZnO,121.4,Spin Coating,Quartz,2.9,1.84,3.57,53.727085,94.93,Optoelectronics,S14
855,SnO2,96.3,CVD,Silicon Wafer,2.95,1.66,4.49,56.320143,83.99,Sensors,S5
856,Graphene,60.1,ALD,Quartz,2.41,1.79,2.25,7.272783,90.9,Optoelectronics,S23
857,Al2O3,110.1,ALD,Silicon Wafer,2.4,1.66,4.37,10.546718,79.43,Optoelectronics,S7
858,MoS2,68.6,CVD,Quartz,1.87,1.02,3.48,0.586559,79.78,Transparent Conductors,S12
859,SiO2,103.5,CVD,Quartz,2.66,1.72,0.52,29.191507,77.52,Transparent Conductors,S16
860,MoS2,49.2,ALD,PET,1.97,3.52,0.73,11.659575,71.81,Transparent Conductors,S14
861,Graphene,77.9,CVD,Silicon Wafer,2.96,2.07,2.88,51.478736,75.28,Optoelectronics,S10
862,SiO2,47.0,Thermal Evaporation,Glass,1.9,1.11,0.67,62.595224,78.65,Transparent Conductors,S6
863,TiO2,144.1,Sputtering,PET,1.94,3.69,4.51,72.855715,85.0,Optoelectronics,S20
864,ITO,76.6,CVD,PET,1.54,3.28,2.45,67.149536,78.65,Transparent Conductors,S12
865,TiO2,63.6,Sputtering,PET,2.0,3.39,2.86,33.845841,85.89,Solar Cells,S18
866,TiO2,136.3,ALD,Glass,2.18,2.85,4.1,31.918795,82.37,Solar Cells,S8
867,SiO2,157.9,ALD,Glass,2.86,2.94,3.78,10.229779,78.82,Optoelectronics,S22
868,Graphene,169.3,Thermal Evaporation,PET,2.99,1.02,3.65,13.732497,94.45,Optoelectronics,S2
869,MoS2,63.2,Spin Coating,PET,2.85,3.88,3.8,57.869693,75.75,Transparent Conductors,S8
870,Graphene,85.9,Spin Coating,Silicon Wafer,2.74,2.25,2.56,23.862558,74.52,Transparent Conductors,S24
871,ITO,74.1,CVD,PET,1.84,3.13,1.46,48.148982,76.28,Optoelectronics,S7
872,Al2O3,76.9,Spin Coating,PET,2.5,3.64,4.38,99.198977,83.0,Transparent Conductors,S17
873,ZnO,119.6,ALD,Glass,2.47,1.3,3.21,21.226547,91.61,Sensors,S21
874,SnO2,76.9,Thermal Evaporation,Silicon Wafer,1.51,3.46,4.48,69.930062,84.6,Optoelectronics,S6
875,ZnO,99.1,Thermal Evaporation,PET,2.38,3.91,1.3,58.555862,89.0,Solar Cells,S16
876,Graphene,129.4,Thermal Evaporation,Glass,2.21,2.49,1.93,8.401781,78.68,Optoelectronics,S17
877,ZnO,117.4,Thermal Evaporation,Silicon Wafer,2.37,3.29,3.41,99.279766,77.3,Transparent Conductors,S4
878,Graphene,105.0,ALD,Quartz,2.6,3.99,1.13,39.660711,78.89,Transparent Conductors,S15
879,ZnO,116.6,CVD,PET,2.36,3.11,0.61,68.19966,92.42,Solar Cells,S9
880,Al2O3,46.0,Thermal Evaporation,PET,2.46,2.7,4.26,60.823947,89.2,Solar Cells,S17
881,Graphene,82.1,CVD,PET,1.83,1.99,3.24,28.037658,92.62,Optoelectronics,S17
882,Al2O3,69.8,Spin Coating,Silicon Wafer,2.69,3.14,4.33,74.63243,81.15,Solar Cells,S7
883,Graphene,68.0,Sputtering,Quartz,2.4,1.15,3.0,24.513209,78.33,Transparent Conductors,S23
884,SnO2,110.4,Spin Coating,PET,1.8,2.47,3.49,52.560789,78.05,Optoelectronics,S19
885,SnO2,108.7,Thermal Evaporation,PET,1.98,3.12,1.43,82.627545,84.65,Optoelectronics,S20
886,Al2O3,98.0,ALD,Quartz,2.76,3.54,4.47,18.987767,81.16,Sensors,S8
887,MoS2,91.9,Spin Coating,PET,2.28,1.96,0.57,58.429801,75.45,Solar Cells,S13
888,Graphene,76.4,ALD,Silicon Wafer,2.44,2.28,1.32,67.852316,72.64,Sensors,S2
889,Al2O3,83.6,ALD,Silicon Wafer,2.46,2.45,3.44,90.939295,84.46,Transparent Conductors,S12
890,MoS2,131.7,Spin Coating,Glass,1.91,3.19,4.43,8.716325,85.67,Transparent Conductors,S17
891,MoS2,81.1,ALD,Glass,2.42,3.52,4.82,68.975887,81.25,Sensors,S11
892,ITO,150.2,Spin Coating,Quartz,2.64,2.58,2.48,67.380638,73.75,Optoelectronics,S22
893,ZnO,76.3,CVD,Silicon Wafer,2.56,1.9,3.87,16.758141,86.28,Solar Cells,S12
894,ITO,151.7,Spin Coating,PET,2.14,3.16,0.55,54.383936,88.96,Optoelectronics,S19
895,ZnO,104.2,Sputtering,Silicon Wafer,2.93,2.28,3.12,6.369174,73.82,Solar Cells,S9
896,ITO,84.0,CVD,Glass,1.89,3.42,2.96,0.485741,84.64,Solar Cells,S20
897,MoS2,50.6,Spin Coating,Glass,1.79,2.99,2.55,63.78792,81.57,Sensors,S17
898,SiO2,75.7,Sputtering,PET,2.14,3.25,3.26,97.979995,94.24,Sensors,S21
899,MoS2,109.2,CVD,PET,2.16,1.33,0.81,93.85679,93.54,Solar Cells,S21
900,Al2O3,100.4,Spin Coating,Glass,1.7,3.04,2.32,62.792573,88.72,Solar Cells,S24
901,TiO2,121.0,Spin Coating,Silicon Wafer,2.06,2.55,4.45,57.033544,89.57,Transparent Conductors,S14
902,Al2O3,49.1,CVD,Quartz,2.25,2.57,2.95,68.329047,73.27,Solar Cells,S4
903,SnO2,160.0,Sputtering,Glass,2.58,2.78,3.56,44.445358,71.03,Solar Cells,S12
904,ZnO,121.0,Spin Coating,Quartz,1.6,2.2,2.49,20.709353,86.34,Solar Cells,S17
905,ZnO,105.2,Thermal Evaporation,Silicon Wafer,1.7,2.83,2.35,37.62673,91.28,Transparent Conductors,S15
906,Al2O3,91.7,Sputtering,Quartz,2.34,1.15,0.85,59.695953,91.54,Sensors,S4
907,SiO2,167.2,CVD,Silicon Wafer,1.5,3.83,4.24,16.137129,80.86,Sensors,S4
908,Al2O3,117.5,Spin Coating,Silicon Wafer,2.26,3.2,2.62,94.059046,72.34,Optoelectronics,S20
909,SnO2,53.1,Sputtering,Glass,2.61,2.89,0.96,74.839309,76.64,Optoelectronics,S12
910,TiO2,81.4,Spin Coating,PET,1.6,2.03,3.17,96.072463,81.1,Transparent Conductors,S25
911,SnO2,42.7,Thermal Evaporation,PET,1.6,1.02,0.96,52.560382,87.45,Solar Cells,S9
912,ZnO,139.2,Sputtering,PET,1.57,3.14,3.49,68.830646,70.73,Sensors,S19
913,MoS2,118.7,Sputtering,PET,2.59,1.56,4.76,73.201523,86.84,Solar Cells,S11
914,MoS2,100.0,ALD,PET,2.31,3.3,3.22,72.68573,87.29,Sensors,S8
915,SiO2,144.6,CVD,Glass,2.61,2.23,4.44,32.423543,91.8,Sensors,S7
916,ZnO,109.6,ALD,Glass,1.55,2.66,2.78,63.257183,83.12,Optoelectronics,S20
917,ZnO,63.8,ALD,Quartz,1.68,1.01,2.89,35.243107,74.51,Solar Cells,S10
918,MoS2,64.3,Thermal Evaporation,Silicon Wafer,2.45,3.08,2.2,19.46489,70.18,Sensors,S1
919,Graphene,121.5,Sputtering,Quartz,2.52,3.88,0.97,99.737627,84.78,Optoelectronics,S10
920,SiO2,137.6,Sputtering,Silicon Wafer,2.62,2.33,1.45,63.791447,73.94,Solar Cells,S17
921,ZnO,84.3,Sputtering,PET,2.78,3.17,4.21,99.130983,72.75,Optoelectronics,S7
922,ITO,118.4,ALD,PET,1.7,3.06,3.38,89.455853,83.74,Sensors,S6
923,SiO2,124.3,Sputtering,Silicon Wafer,2.61,1.99,4.65,67.917409,88.2,Transparent Conductors,S13
924,SiO2,87.4,Spin Coating,Silicon Wafer,2.84,2.72,2.54,51.470249,82.01,Optoelectronics,S20
925,SnO2,95.3,Thermal Evaporation,Silicon Wafer,2.32,1.89,4.07,64.233247,80.2,Optoelectronics,S18
926,Al2O3,127.3,Thermal Evaporation,Quartz,1.6,2.25,0.75,98.738971,74.71,Transparent Conductors,S16
927,SnO2,114.8,CVD,Glass,2.81,3.11,2.9,21.679854,78.96,Optoelectronics,S9
928,TiO2,52.4,Thermal Evaporation,Silicon Wafer,2.08,1.1,2.07,17.676907,83.7,Transparent Conductors,S16
929,MoS2,116.7,Thermal Evaporation,Quartz,1.61,1.35,3.32,97.755778,84.34,Solar Cells,S24
930,Al2O3,101.6,Sputtering,Quartz,1.98,3.75,0.6,48.680825,74.0,Transparent Conductors,S20
931,SnO2,116.5,CVD,Quartz,2.54,2.78,0.67,22.016014,82.67,Transparent Conductors,S19
932,Al2O3,132.1,Spin Coating,PET,2.49,1.38,1.65,25.051324,83.89,Optoelectronics,S12
933,MoS2,120.6,Thermal Evaporation,Glass,2.53,1.56,1.51,8.937026,91.77,Solar Cells,S9
934,Graphene,85.4,CVD,PET,2.88,2.65,1.15,69.551709,89.21,Solar Cells,S3
935,MoS2,144.5,Spin Coating,Glass,2.28,2.37,2.78,6.747166,93.17,Sensors,S21
936,SiO2,116.9,ALD,Glass,2.38,1.89,2.24,86.101649,74.53,Solar Cells,S11
937,SiO2,69.4,CVD,Glass,2.52,1.63,1.69,2.418768,76.25,Sensors,S9
938,Al2O3,155.7,ALD,PET,2.4,3.26,2.11,6.937895,87.03,Sensors,S9
939,MoS2,121.0,Thermal Evaporation,Quartz,2.17,1.89,2.23,39.734309,83.88,Optoelectronics,S12
940,Graphene,70.6,Thermal Evaporation,Glass,2.97,3.77,2.71,60.227153,91.15,Solar Cells,S13
941,SnO2,140.1,Spin Coating,PET,2.19,3.3,2.67,41.271046,88.1,Optoelectronics,S7
942,MoS2,146.6,Spin Coating,PET,2.72,2.86,2.22,45.723349,71.17,Transparent Conductors,S14
943,MoS2,50.2,Sputtering,Quartz,2.45,3.87,4.79,26.025682,92.73,Solar Cells,S25
944,SiO2,100.5,Spin Coating,Quartz,2.61,2.08,3.32,18.282405,75.16,Solar Cells,S4
945,ITO,110.3,CVD,Quartz,2.99,2.25,4.93,77.076466,93.0,Sensors,S13
946,Al2O3,109.0,CVD,Glass,2.98,3.97,3.75,10.286633,84.06,Transparent Conductors,S9
947,ITO,74.6,Sputtering,Silicon Wafer,1.61,2.27,2.11,3.596685,72.67,Sensors,S16
948,ZnO,95.7,CVD,Glass,2.69,1.41,1.6,91.970243,93.66,Optoelectronics,S1
949,TiO2,38.1,CVD,PET,1.57,3.89,4.35,56.234955,71.52,Sensors,S12
950,ZnO,107.8,Spin Coating,Glass,1.58,3.66,2.56,42.758763,87.22,Optoelectronics,S23
951,SiO2,112.9,ALD,Quartz,1.93,2.89,1.06,96.731757,85.46,Sensors,S19
952,SiO2,119.8,Sputtering,Silicon Wafer,2.42,2.46,1.69,52.597454,77.7,Solar Cells,S10
953,ZnO,85.7,ALD,PET,2.71,1.74,4.59,57.977433,92.52,Sensors,S24
954,MoS2,96.2,Sputtering,PET,2.77,1.43,1.44,72.550811,84.35,Solar Cells,S20
955,ZnO,99.7,CVD,Quartz,2.49,2.1,1.56,59.612657,86.05,Sensors,S6
956,ZnO,89.3,Sputtering,Quartz,2.61,3.0,1.84,6.795849,73.06,Transparent Conductors,S5
957,SiO2,110.5,CVD,Glass,2.41,2.23,2.29,25.766357,94.42,Optoelectronics,S21
958,TiO2,117.6,ALD,Silicon Wafer,2.4,3.2,3.36,39.893848,72.36,Solar Cells,S12
959,SnO2,75.3,Thermal Evaporation,Silicon Wafer,2.26,3.32,0.55,27.27307,80.66,Sensors,S5
960,ZnO,68.0,Sputtering,PET,2.5,2.25,3.54,17.844724,83.46,Transparent Conductors,S16
961,SiO2,97.6,Spin Coating,Silicon Wafer,1.69,2.81,3.78,82.830365,88.02,Solar Cells,S7
962,SnO2,84.7,CVD,Quartz,2.64,1.58,3.32,87.793756,73.82,Optoelectronics,S23
963,MoS2,134.8,Spin Coating,Glass,2.06,1.45,3.41,38.329605,77.19,Optoelectronics,S15
964,MoS2,137.9,CVD,Glass,2.24,2.64,3.39,41.026558,92.33,Sensors,S18
965,SiO2,118.5,CVD,Glass,1.88,2.11,1.38,8.084773,70.69,Transparent Conductors,S13
966,SiO2,88.9,Spin Coating,PET,2.86,3.7,0.82,95.033554,84.61,Optoelectronics,S9
967,SiO2,122.6,CVD,Quartz,2.46,1.85,3.11,71.450126,71.62,Sensors,S19
968,MoS2,77.0,Spin Coating,PET,1.99,1.65,1.05,35.324646,90.35,Solar Cells,S14
969,SnO2,125.4,CVD,Quartz,2.94,1.8,4.61,9.748451,73.87,Sensors,S4
970,Graphene,97.3,Sputtering,PET,1.93,2.08,1.24,64.875008,71.32,Solar Cells,S5
971,SnO2,78.8,Sputtering,Glass,2.98,2.79,2.28,84.292941,77.94,Optoelectronics,S19
972,SnO2,136.5,Spin Coating,PET,1.54,3.23,1.46,27.71866,70.59,Solar Cells,S21
973,Al2O3,154.0,Spin Coating,PET,2.04,1.63,4.4,54.872415,92.82,Solar Cells,S8
974,SnO2,92.7,CVD,PET,2.64,2.54,1.48,2.508772,87.31,Optoelectronics,S17
975,ZnO,58.4,ALD,Silicon Wafer,1.67,3.65,2.18,72.763137,94.87,Transparent Conductors,S15
976,MoS2,142.7,CVD,PET,2.68,3.94,3.89,97.357884,78.39,Transparent Conductors,S17
977,SiO2,89.9,Spin Coating,Silicon Wafer,2.08,3.73,2.78,60.354229,78.01,Sensors,S4
978,Al2O3,70.7,Sputtering,Glass,1.85,3.99,2.65,48.96549,85.44,Solar Cells,S24
979,ITO,162.9,Thermal Evaporation,PET,2.96,1.03,3.09,24.219241,70.92,Solar Cells,S3
980,SiO2,71.4,Sputtering,Quartz,2.37,1.81,1.99,22.041133,94.56,Solar Cells,S10
981,SnO2,53.6,CVD,Silicon Wafer,2.65,3.08,3.17,21.815219,72.89,Optoelectronics,S19
982,TiO2,76.2,Sputtering,Quartz,2.69,3.26,4.93,61.637662,75.28,Sensors,S19
983,SiO2,63.9,CVD,Quartz,2.0,2.53,4.29,35.452393,82.85,Sensors,S24
984,SnO2,89.2,Sputtering,PET,2.84,3.45,2.07,56.541551,72.37,Optoelectronics,S5
985,SnO2,106.3,Thermal Evaporation,Glass,2.59,2.38,3.14,44.243169,79.99,Solar Cells,S2
986,SiO2,56.5,Spin Coating,Silicon Wafer,1.95,1.44,1.45,48.230338,81.97,Solar Cells,S10
987,TiO2,40.2,Spin Coating,Silicon Wafer,2.89,1.66,3.22,27.586146,74.01,Solar Cells,S3
988,SnO2,157.7,Spin Coating,Quartz,1.71,2.2,1.57,73.776937,89.39,Sensors,S1
989,SnO2,120.7,Thermal Evaporation,PET,2.34,1.04,2.53,95.346949,90.82,Optoelectronics,S12
990,ITO,108.7,Thermal Evaporation,Quartz,2.6,2.6,3.56,58.026622,87.27,Transparent Conductors,S7
991,MoS2,160.0,Sputtering,Glass,1.71,3.21,3.57,85.73747,77.17,Sensors,S14
992,Graphene,112.7,Sputtering,Glass,2.99,1.5,3.76,78.545626,78.38,Solar Cells,S14
993,SiO2,173.1,Thermal Evaporation,PET,2.56,3.08,1.84,80.077282,78.24,Sensors,S10
994,MoS2,78.2,Spin Coating,Quartz,1.61,3.4,1.24,44.134125,77.62,Transparent Conductors,S20
995,SiO2,65.4,Spin Coating,Silicon Wafer,1.62,3.2,4.06,17.515723,78.69,Optoelectronics,S18
996,MoS2,59.9,ALD,Silicon Wafer,2.52,3.75,3.65,13.055097,93.57,Sensors,S10
997,TiO2,84.9,CVD,PET,1.65,2.68,0.54,90.367723,80.9,Solar Cells,S4
998,Al2O3,119.4,CVD,PET,2.79,1.1,2.06,1.136813,86.29,Sensors,S5
999,SiO2,118.0,Spin Coating,Glass,2.19,1.64,3.95,23.75201,94.38,Optoelectronics,S1
1000,SnO2,106.1,Thermal Evaporation,Quartz,1.89,3.14,0.51,79.223439,74.7,Sensors,S13
1001,Graphene,99.1,Sputtering,Quartz,2.36,3.89,1.01,32.3314,74.86,Solar Cells,S5
1002,TiO2,141.3,CVD,Silicon Wafer,2.49,3.97,1.91,3.243865,81.48,Sensors,S12
1003,Al2O3,117.8,CVD,Silicon Wafer,2.27,3.16,2.05,70.920419,86.65,Sensors,S23
1004,MoS2,52.1,Thermal Evaporation,Quartz,1.81,2.98,2.28,9.126309,83.54,Optoelectronics,S13
1005,MoS2,68.2,Spin Coating,Quartz,1.84,2.28,1.74,5.190487,75.87,Solar Cells,S12
1006,MoS2,105.5,Thermal Evaporation,Quartz,2.06,1.63,3.41,46.853493,85.53,Sensors,S2
1007,Graphene,65.6,Sputtering,Glass,2.69,2.92,4.2,76.011344,70.67,Sensors,S20
1008,ITO,143.8,ALD,Quartz,1.64,2.11,2.8,52.901314,73.25,Sensors,S25
1009,ITO,81.5,Spin Coating,Silicon Wafer,1.82,2.6,2.25,11.251244,88.96,Optoelectronics,S5
1010,TiO2,138.7,Sputtering,Silicon Wafer,1.96,2.99,2.07,59.286877,72.15,Sensors,S11
1011,ZnO,75.9,Spin Coating,PET,2.64,3.4,2.05,12.083481,79.63,Solar Cells,S21
1012,TiO2,100.0,Sputtering,Glass,2.02,3.35,5.0,34.429378,89.65,Sensors,S16
1013,ITO,115.6,Thermal Evaporation,Silicon Wafer,1.78,1.8,2.76,11.947124,71.84,Sensors,S10
1014,SnO2,57.3,Spin Coating,Glass,2.26,2.06,4.75,73.413807,94.07,Solar Cells,S20
1015,SiO2,98.4,ALD,Glass,2.77,1.19,0.61,62.871201,92.22,Solar Cells,S17
1016,TiO2,113.3,Spin Coating,PET,1.52,2.47,4.62,13.14357,76.79,Solar Cells,S16
1017,TiO2,99.2,CVD,Silicon Wafer,1.62,3.69,4.49,84.189656,85.18,Transparent Conductors,S11
1018,SiO2,100.4,CVD,Glass,2.51,3.91,3.59,67.532298,93.24,Optoelectronics,S19
1019,SnO2,109.3,Sputtering,PET,2.95,3.05,4.4,36.206597,88.23,Transparent Conductors,S15
1020,MoS2,34.7,Thermal Evaporation,Silicon Wafer,2.56,3.25,4.95,54.110645,73.38,Solar Cells,S7
1021,Al2O3,131.0,CVD,Glass,1.54,1.08,3.44,50.906311,81.25,Transparent Conductors,S21
1022,ITO,87.2,ALD,PET,2.31,2.32,2.29,59.098414,73.53,Transparent Conductors,S24
1023,TiO2,93.2,Spin Coating,Silicon Wafer,2.37,1.49,1.69,38.701605,73.52,Solar Cells,S9
1024,SnO2,70.7,Spin Coating,Silicon Wafer,2.2,1.55,4.09,48.667375,73.07,Solar Cells,S21
1025,Al2O3,117.7,CVD,Silicon Wafer,2.01,2.49,4.39,45.570134,87.35,Solar Cells,S22
1026,ITO,123.4,Sputtering,Glass,2.55,3.64,3.4,16.350679,93.61,Transparent Conductors,S8
1027,SnO2,124.0,Thermal Evaporation,Glass,2.48,2.14,1.94,35.4855,82.21,Sensors,S17
1028,SiO2,97.2,ALD,Silicon Wafer,1.64,1.11,3.09,44.88502,81.58,Solar Cells,S8
1029,ITO,120.6,Sputtering,Quartz,2.23,2.5,4.84,82.64622,74.52,Sensors,S6
1030,TiO2,77.6,Sputtering,Quartz,2.54,3.38,3.65,25.003966,83.58,Transparent Conductors,S24
1031,SnO2,129.3,ALD,PET,2.5,1.03,2.55,33.076056,80.01,Optoelectronics,S18
1032,SnO2,106.8,CVD,Glass,1.67,3.5,2.34,42.388092,74.71,Solar Cells,S3
1033,ITO,35.2,Thermal Evaporation,Glass,2.99,2.38,3.25,24.020041,71.74,Optoelectronics,S20
1034,TiO2,155.4,ALD,Glass,2.4,2.35,2.36,27.437656,89.56,Sensors,S12
1035,ZnO,109.7,ALD,Quartz,1.65,2.39,1.54,77.693929,91.64,Solar Cells,S5
1036,ITO,115.3,ALD,Quartz,2.01,2.74,3.6,72.414657,85.53,Transparent Conductors,S9
1037,Graphene,69.9,Spin Coating,Silicon Wafer,2.92,1.88,2.68,73.593525,83.91,Optoelectronics,S6
1038,ITO,164.1,Thermal Evaporation,Silicon Wafer,2.49,2.03,2.75,63.763795,71.69,Solar Cells,S15
